optimal
Objective value       13.218877
      0 y0           0.002681645         -1.2351231e-15
      1 y1            0.15040926         -1.6653345e-16
      6 y6            0.24483292           1.110223e-16
      8 y8           0.086124351          3.1918912e-16
     23 y23            0.1259733                      0
     31 y31          0.094694107                      0
     40 y40           0.13171693         -2.7755576e-17
     46 y46           0.12010441                      0
     54 y54          0.090620606         -1.4571677e-15
     55 y55           0.10904795                      0
     57 y57          0.047381557                      0
     60 y60           0.30777234          6.0645933e-15
     64 y64           0.38926004          5.5511151e-17
     65 y65            0.1049594                      0
     67 y67          0.060964267          1.3877788e-17
     69 y69           0.10123046          2.7755576e-16
     74 y74           0.31784348          1.9317881e-14
     78 y78          0.083338359                      0
     82 y82           0.14529156         -8.3266727e-17
     83 y83            0.2126795         -4.1910919e-15
     84 y84         0.0086566883          6.9388939e-18
     90 y90           0.16792183                      0
     91 y91            0.1339109                      0
     95 y95          0.051742758         -2.7755576e-17
     99 y99          0.081939152         -2.4980018e-16
    104 y104          0.03187856                      0
    112 y112         0.049080249         -5.5511151e-17
    136 y136          0.11623159          4.9960036e-15
    141 y141          0.12332371         -4.3576254e-15
    142 y142          0.15261792          9.2148511e-15
    146 y146         0.042378116          -2.747802e-15
    148 y148         0.025217212          5.5511151e-17
    154 y154          0.19032118         -1.3877788e-16
    163 y163          0.17191594         -7.9380946e-15
    166 y166          0.15370995         -2.7755576e-17
    168 y168         0.043075295          2.4424907e-15
    179 y179          0.17069247          5.5511151e-17
    182 y182         0.030349127                      0
    186 y186          0.09985182         -2.4980018e-16
    188 y188          0.24209139         -9.4368957e-16
    192 y192         0.048273581          -1.110223e-16
    193 y193         0.010243294                      0
    196 y196          0.24982112                      0
    199 y199         0.043806418                      0
    204 y204          0.12946236          1.6653345e-16
    205 y205          0.07596142          -2.220446e-15
    209 y209        0.0023324684          3.6082248e-15
    210 y210          0.20025161         -2.7755576e-17
    212 y212         0.077412349          -5.884182e-15
    221 y221        0.0049655031                      0
    228 y228         0.015789538          8.3266727e-17
    235 y235          0.12651727         -8.3266727e-17
    244 y244          0.26448418           1.110223e-16
    256 y256         0.086196608          5.5511151e-17
    260 y260           0.1407461          6.9388939e-17
    262 y262          0.19857131          4.3021142e-16
    263 y263         0.027963941         -1.3461454e-15
    269 y269          0.20426145         -3.9968029e-15
    274 y274          0.34208292         -2.7755576e-15
    280 y280         0.098861163         -5.5511151e-17
    281 y281         0.059494574          4.3021142e-16
    286 y286          0.26545007          1.3877788e-16
    287 y287          0.11189935         -3.0531133e-16
    293 y293          0.16116908          8.3266727e-17
    297 y297          0.12630641         -1.3877788e-17
    317 y317          0.19075173                      0
    320 y320          0.19953445          5.3013149e-15
    321 y321          0.28140016         -1.2323476e-14
    324 y324         0.094551943         -4.2604809e-15
    325 y325          0.10114467          1.4155344e-15
    327 y327          0.21833784                      0
    329 y329         0.080516571          5.5511151e-17
    337 y337          0.26486083          1.0824674e-15
    344 y344          0.25957247         -9.7144515e-16
    367 y367          0.16362122          4.2743586e-15
    373 y373         0.093691333          -1.110223e-16
    378 y378          0.15298297         -2.3592239e-15
    380 y380         0.018021086           1.110223e-16
    385 y385          0.14441125          5.5511151e-17
    386 y386          0.26909007                      0
    390 y390        0.0054909454          5.8286709e-15
    402 y402          0.12651315         -1.9428903e-16
    403 y403        0.0063800743          -1.110223e-16
    411 y411         0.041851644          4.1633363e-17
    412 y412          0.19679791          -2.220446e-16
    419 y419          0.11739319          5.5511151e-17
    420 y420         0.037496101           5.752343e-15
    440 y440           0.3119296          7.8270723e-15
    442 y442          0.18709815         -3.5249581e-15
    449 y449            0.222677          6.9388939e-17
    457 y457          0.22327009          -1.110223e-15
    462 y462         0.064682027         -4.1078252e-15
    463 y463          0.18181329         -2.7755576e-17
    473 y473          0.12555049                      0
    474 y474         0.030544925         -8.3266727e-17
    482 y482          0.28937535         -2.4286129e-15
    484 y484         0.080966209                      0
    488 y488          0.09430762         -1.0769163e-14
    493 y493          0.14340928          5.5511151e-17
    496 y496          0.11268504                      0
