Instance,Objective
10teams,924
a1c1s1,11503.4
aflow30a,1158
aflow40b,1168
air03,340160
air04,56137
air05,26374
arki001,7580813.0459
atlanta-ip,90.0099
bell3a,878430.32
bell5,8966406.49
blend2,7.598985
cap6000,-2451377
dano3mip,728.1111
danoint,65.67
dcmulti,188182
disctom,-5000
dsbmip,-305.19817501
ds,93.52
egout,568101
enigma,0.0
fast0507,174
fiber,405935.18000
fixnet6,3983
flugpl,1201500
gen,112313
gesa2,25779856372
gesa2_o,25779856372
gesa3,27991042648
gesa3_o,27991042648
glass4,1.20001e+09
gt2,21166000
harp2,-73899798.00
khb05250,106940226
l152lav,4722
lseu,1120
manna81,-13164
markshare1,1
markshare2,1
mas74,11801.2
mas76,40005.1
misc03,3360
misc06,12850.8607
misc07,2810
mitre,115155
mkc,-563.846
mod008,307
mod010,6548
mod011,-54558535
modglob,20740508
momentum1,109143
momentum2,12314.2
msc98-ip,1.98395e+07
mzzv11,-21718
mzzv42z,-20540
net12,214
noswot,-43
nsrand-ipx,51200
nw04,16862
opt1217,-16
p0033,3089
p0201,7615
p0282,258411
p0548,8691
p2756,3124
pk1,11.0
pp08aCUTS,7350.0
pp08a,7350.0
protfold,-31
qiu,-132.873137
qnet1,16029.692681
qnet1_o,16029.692681
rd-rplusc-21,165395
rentacar,30356761
rgn,82.1999
roll3000,12890
rout,1077.56
set1ch,54537.75
seymour,423
sp97ar,6.60706e+08
stein27,18
stein45,30
stp3d,493.72
swath,467407
timtab1,764772
timtab2,1.09656e+06
tr12-30,130596
vpm1,20
vpm2,13.75
