Instance,Objective
30n20b8,302
acc-tight5,0
aflow40b,1168
air04,56137
app1-2,-41
ash608gpia-3col,Infeasible
bab5,-106412
beasleyC3,754
biella1,3.06501e+06
bienst2,54.6
binkar10_1,6742.2
bley_xl1,190
bnatt350,0
core2536-691,689
cov1075,20
csched010,408
danoint,65.6667
dfn-gwin-UUM,38752
eil33-2,934008
eilB101,1216.92
enlight13,71
enlight14,Infeasible
ex9,81
glass4,1.20001e+09
gmu-35-40,-2.40673e+06
iis-100-0-cov,29
iis-bupa-cov,36
iis-pima-cov,33
lectsched-4-obj,4
m100n500k4r1,-25
macrophage,374
map18,-847
map20,-922
mcsched,211913
mik-250-1-100-1,-66729
mine-166-5,-5.66396e+08
mine-90-10,-7.84302e+08
msc98-ip,1.98395e+07
mspp16,363
mzzv11,-21718
n3div36,130800
n3seq24,52200
n4-3,8993
neos-1109824,378
neos-1337307,-202319
neos-1396125,3000.05
neos13,-95.4748
neos-1601936,3
neos18,16
neos-476283,406363
neos-686190,6730
neos-849702,0
neos-916792,31.8704
neos-934278,260
net12,214
netdiversion,242
newdano,65.6667
noswot,-41
ns1208400,2
ns1688347,27
ns1758913,-1454.67
ns1766074,Infeasible
ns1830653,20622
opm2-z7-s2,-10280
pg5_34,-14339.4
pigeon-10,-9000
pw-myciel4,10
qiu,-132873
rail507,174
ran16x16,3823
reblock67,-3.46306e+07
rmatr100-p10,423
rmatr100-p5,976
rmine6,-457186
rocII-4-11,-6.65564
rococoC10-001000,11460
roll3000,12890
satellites1-25,-5
sp98ic,4.49145e+08
sp98ir,2.19677e+08
tanglegram1,5182
tanglegram2,443
timtab1,764772
triptim1,22.8681
unitcal_7,1.96356e+07
vpphard,5
zib54-UUE,1.0334e+07
