Instance,Objective
t0415pre,5.33942e+06
t0415,5.33942e+06
t0416pre,6.08826e+06
t0416,6.08826e+06
t0417pre,5.95136e+06
t0417,5.95136e+06
t0418pre,6.44291e+06
t0418,6.44291e+06
t0419pre,5.90787e+06
t0419,5.90787e+06
t0420pre,4.1537e+06
t0420,4.1537e+06
t0421pre,4.29081e+06
t0421,4.29081e+06
t1716pre,168451
t1716,168451
t1717pre,190995
t1717,190995
t1718pre,166999
t1718,166999
t1719pre,195013
t1719,195013
t1720pre,179283
t1720,179283
t1721pre,134396
t1721,134396
t1722pre,120962
t1722,120962
v0415pre,2.42942e+06
v0415,2.42942e+06
v0416pre,2.72575e+06
v0416,2.72575e+06
v0417pre,2.61152e+06
v0417,2.61152e+06
v0418pre,2.84542e+06
v0418,2.84542e+06
v0419pre,2.59033e+06
v0419,2.59033e+06
v0420pre,1.69689e+06
v0420,1.69689e+06
v0421pre,1.85395e+06
v0421,1.85395e+06
v1616pre,1.00646e+06
v1616,1.00646e+06
v1617pre,1.10259e+06
v1617,1.10259e+06
v1618pre,1.15387e+06
v1618,1.15387e+06
v1619pre,1.15637e+06
v1619,1.15637e+06
v1620pre,1.1406e+06
v1620,1.1406e+06
v1621pre,825594
v1621,825594
v1622pre,793445
v1622,793445
